"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1232","Given I am on the login page","","Fri Apr 18 01:54:41 IST 2025","passed","Fri Apr 18 01:54:42 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","216","When I enter login credentials with email ""testautomation@domain.com"" and password ""Welcome@123""","","Fri Apr 18 01:20:59 IST 2025","broken","Fri Apr 18 01:20:59 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1145","Given I am on the login page","","Fri Apr 18 13:16:21 IST 2025","passed","Fri Apr 18 13:16:22 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","0","Then I should see account creation success message","","Fri Apr 18 01:21:19 IST 2025","skipped","Fri Apr 18 01:21:19 IST 2025","","Sign up functionality: User should be able to create a new account","",""
"","1859","When I login with email ""fake_user@example.com"" and password ""barfoo""","","Fri Apr 18 13:19:48 IST 2025","passed","Fri Apr 18 13:19:50 IST 2025","","Login functionality for invalid scenario: As a user, I can log into the secure area","",""
"","38","Then I should see the user dashboard","","Fri Apr 18 13:16:37 IST 2025","passed","Fri Apr 18 13:16:37 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","182","When I enter login credentials with email """"roni_cost@example.com"""" and password """"SuperSecretPassword""""","","Fri Apr 18 01:18:53 IST 2025","broken","Fri Apr 18 01:18:53 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","180","When I enter login credentials with email ""anotheruser@example.com"" and password ""AnotherPassword1""","","Fri Apr 18 01:19:12 IST 2025","broken","Fri Apr 18 01:19:13 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","2582","When I login with ""testautomation@domain.com"" and ""Welcome@123""","","Fri Apr 18 01:08:42 IST 2025","passed","Fri Apr 18 01:08:45 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1","hook:","","Fri Apr 18 13:16:37 IST 2025","failed","Fri Apr 18 13:16:37 IST 2025","","","",""
"","0","Then I should see a flash message saying ""The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.""","","Fri Apr 18 01:08:04 IST 2025","skipped","Fri Apr 18 01:08:04 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","54","Then I should see an error message","","Fri Apr 18 13:16:24 IST 2025","passed","Fri Apr 18 13:16:24 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","10019","When I login with ""fake_user@example.com"" and ""barfoo""","","Fri Apr 18 01:07:54 IST 2025","broken","Fri Apr 18 01:08:04 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","2856","When I login with email ""roni_cost@example.com"" and password ""SuperSecretPassword""","","Fri Apr 18 01:54:38 IST 2025","passed","Fri Apr 18 01:54:41 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","0","hook:","","Fri Apr 18 13:16:24 IST 2025","failed","Fri Apr 18 13:16:24 IST 2025","","","",""
"","2957","When I login with email ""testautomation@domain.com"" and password ""Welcome@123""","","Fri Apr 18 13:16:34 IST 2025","passed","Fri Apr 18 13:16:37 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","2357","When I login with email ""roni_cost@example.com"" and password ""SuperSecretPassword""","","Fri Apr 18 13:19:44 IST 2025","passed","Fri Apr 18 13:19:47 IST 2025","","Login functionality for invalid scenario: As a user, I can log into the secure area","",""
"","1","When I enter account details with random email","","Fri Apr 18 01:21:19 IST 2025","skipped","Fri Apr 18 01:21:19 IST 2025","","Sign up functionality: User should be able to create a new account","",""
